"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019년 05월 06일","5,745.1","5,775.1","5,801.4","5,630.5","755.39K","-0.52%"
"2019년 05월 05일","5,774.9","5,830.8","5,838.2","5,708.2","709.02K","-0.96%"
"2019년 05월 04일","5,830.9","5,768.0","5,899.2","5,605.0","920.61K","1.11%"
"2019년 05월 03일","5,766.8","5,493.6","5,844.2","5,478.7","1.04M","4.97%"
"2019년 05월 02일","5,493.8","5,384.6","5,530.8","5,370.0","722.23K","2.04%"
"2019년 05월 01일","5,384.2","5,321.1","5,396.3","5,319.5","623.64K","1.19%"
"2019년 04월 30일","5,320.8","5,235.4","5,336.6","5,195.9","697.42K","1.64%"
"2019년 04월 29일","5,235.0","5,302.4","5,322.9","5,188.9","775.82K","-1.27%"
"2019년 04월 28일","5,302.3","5,265.7","5,332.5","5,234.4","681.41K","0.69%"
"2019년 04월 27일","5,265.9","5,298.2","5,318.1","5,225.4","833.13K","-0.61%"
"2019년 04월 26일","5,298.3","5,209.2","5,469.3","5,159.3","1.03M","1.71%"
"2019년 04월 25일","5,209.1","5,415.6","5,528.2","5,137.4","955.36K","-3.81%"
"2019년 04월 24일","5,415.6","5,511.2","5,589.6","5,346.8","994.04K","-1.74%"
"2019년 04월 23일","5,511.6","5,346.5","5,594.4","5,291.4","900.00K","3.08%"
"2019년 04월 22일","5,346.7","5,248.2","5,370.2","5,170.2","920.77K","1.97%"
"2019년 04월 21일","5,243.5","5,290.2","5,308.2","5,189.8","811.41K","-0.88%"
"2019년 04월 20일","5,290.2","5,241.0","5,327.0","5,240.2","782.32K","0.94%"
"2019년 04월 19일","5,241.0","5,264.8","5,282.4","5,192.1","787.09K","-0.45%"
"2019년 04월 18일","5,264.7","5,208.3","5,293.1","5,205.0","727.97K","1.08%"
"2019년 04월 17일","5,208.3","5,182.1","5,230.9","5,165.5","806.52K","0.53%"
"2019년 04월 16일","5,180.9","5,031.4","5,198.4","5,014.4","631.05K","2.95%"
"2019년 04월 15일","5,032.3","5,135.1","5,168.0","4,964.2","688.20K","-2.00%"
"2019년 04월 14일","5,134.8","5,052.0","5,153.5","5,010.7","566.38K","1.64%"
"2019년 04월 13일","5,051.8","5,054.2","5,093.4","5,011.6","577.16K","-0.05%"
"2019년 04월 12일","5,054.2","5,022.7","5,080.5","4,889.2","779.14K","0.63%"
"2019년 04월 11일","5,022.6","5,307.7","5,337.0","4,948.0","943.49K","-5.37%"
"2019년 04월 10일","5,307.8","5,158.4","5,404.1","5,142.9","837.51K","2.89%"
"2019년 04월 09일","5,158.4","5,245.0","5,245.9","5,095.2","784.62K","-1.65%"
"2019년 04월 08일","5,245.2","5,173.5","5,300.6","5,060.5","928.23K","1.38%"
"2019년 04월 07일","5,173.6","5,046.1","5,219.5","5,033.7","841.27K","2.53%"
"2019년 04월 06일","5,046.2","5,010.0","5,198.4","4,947.9","952.18K","0.72%"
"2019년 04월 05일","5,010.2","4,902.5","5,029.4","4,888.3","851.72K","2.20%"
"2019년 04월 04일","4,902.4","4,968.7","5,042.5","4,789.2","1.05M","-1.33%"
"2019년 04월 03일","4,968.7","4,859.3","5,278.4","4,814.0","13.83M","2.25%"
"2019년 04월 02일","4,859.3","4,145.1","4,899.6","4,143.5","14.77M","17.23%"
"2019년 04월 01일","4,145.1","4,102.3","4,159.1","4,076.8","3.22M","1.04%"
"2019년 03월 31일","4,102.3","4,111.8","4,121.9","4,082.2","2.43M","-0.23%"
"2019년 03월 30일","4,111.8","4,103.7","4,138.1","4,057.1","2.55M","0.23%"
"2019년 03월 29일","4,102.2","4,025.7","4,123.1","4,022.6","3.30M","1.90%"
"2019년 03월 28일","4,025.6","4,041.7","4,041.7","4,008.4","2.11M","-0.40%"
"2019년 03월 27일","4,041.7","3,942.8","4,043.3","3,936.2","2.78M","2.51%"
"2019년 03월 26일","3,942.8","3,937.1","3,950.7","3,899.9","2.53M","0.15%"
"2019년 03월 25일","3,937.0","3,994.8","4,000.5","3,897.9","2.86M","-1.44%"
"2019년 03월 24일","3,994.7","4,002.6","4,005.7","3,967.0","2.04M","-0.20%"
"2019년 03월 23일","4,002.5","3,990.4","4,018.2","3,980.8","2.00M","0.30%"
"2019년 03월 22일","3,990.4","3,982.2","4,005.7","3,971.8","2.83M","0.21%"
"2019년 03월 21일","3,982.2","4,041.2","4,064.0","3,923.8","3.88M","-1.46%"
"2019년 03월 20일","4,041.2","4,017.0","4,050.0","3,985.3","3.18M","0.60%"
"2019년 03월 19일","4,017.0","3,990.2","4,029.9","3,972.4","2.99M","0.67%"
"2019년 03월 18일","3,990.2","3,981.5","4,032.3","3,958.5","2.62M","0.22%"
"2019년 03월 17일","3,981.5","4,006.4","4,009.8","3,956.3","1.87M","-0.62%"
"2019년 03월 16일","4,006.4","3,924.4","4,050.6","3,923.7","3.46M","2.09%"
"2019년 03월 15일","3,924.3","3,879.0","3,935.7","3,874.8","3.11M","1.17%"
"2019년 03월 14일","3,879.0","3,865.1","3,914.7","3,828.4","2.86M","0.36%"
"2019년 03월 13일","3,865.1","3,885.9","3,894.7","3,847.4","2.28M","-0.54%"
"2019년 03월 12일","3,886.0","3,870.3","3,900.1","3,817.1","2.90M","0.41%"
"2019년 03월 11일","3,870.3","3,915.2","3,935.5","3,842.4","3.19M","-1.15%"
"2019년 03월 10일","3,915.2","3,944.4","3,944.5","3,889.2","1.89M","-0.74%"
"2019년 03월 09일","3,944.3","3,865.6","3,964.0","3,859.7","2.48M","2.03%"
"2019년 03월 08일","3,865.9","3,875.1","3,929.0","3,810.7","2.96M","-0.24%"
"2019년 03월 07일","3,875.1","3,863.1","3,907.4","3,847.9","2.60M","0.32%"
"2019년 03월 06일","3,863.0","3,857.2","3,887.3","3,816.7","2.52M","0.15%"
"2019년 03월 05일","3,857.2","3,715.9","3,873.2","3,705.7","3.82M","3.80%"
"2019년 03월 04일","3,715.9","3,809.7","3,828.4","3,681.8","2.85M","-2.45%"
"2019년 03월 03일","3,809.5","3,823.2","3,836.6","3,789.7","1.51M","-0.36%"
"2019년 03월 02일","3,823.1","3,821.9","3,843.2","3,783.6","1.61M","0.03%"
"2019년 03월 01일","3,821.9","3,816.7","3,855.8","3,816.4","1.74M","0.14%"
"2019년 02월 28일","3,816.6","3,814.6","3,883.7","3,783.3","2.31M","0.05%"
