"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019년 06월 18일","9,080.6","9,318.9","9,336.1","8,962.7","723.17K","-2.56%"
"2019년 06월 17일","9,318.8","8,961.0","9,438.1","8,959.8","738.80K","3.98%"
"2019년 06월 16일","8,962.5","8,812.2","9,332.0","8,771.1","849.77K","1.70%"
"2019년 06월 15일","8,812.5","8,655.8","8,856.7","8,582.3","608.69K","1.81%"
"2019년 06월 14일","8,656.1","8,218.6","8,685.3","8,153.2","643.17K","5.32%"
"2019년 06월 13일","8,219.0","8,132.4","8,306.1","8,028.6","574.21K","1.06%"
"2019년 06월 12일","8,133.1","7,888.0","8,198.1","7,805.8","607.89K","3.11%"
"2019년 06월 11일","7,888.0","7,987.8","8,010.4","7,714.5","579.00K","-1.25%"
"2019년 06월 10일","7,987.8","7,635.0","8,012.8","7,523.6","641.38K","4.62%"
"2019년 06월 09일","7,635.0","7,901.6","7,937.5","7,516.9","554.48K","-3.37%"
"2019년 06월 08일","7,901.4","7,985.3","8,044.4","7,770.5","485.81K","-1.05%"
"2019년 06월 07일","7,985.2","7,785.8","8,099.4","7,749.4","588.87K","2.57%"
"2019년 06월 06일","7,784.9","7,779.6","7,861.4","7,480.4","651.82K","0.08%"
"2019년 06월 05일","7,779.1","7,685.6","7,885.0","7,590.4","762.94K","1.22%"
"2019년 06월 04일","7,685.5","8,118.1","8,118.1","7,494.0","966.95K","-5.41%"
"2019년 06월 03일","8,124.8","8,728.6","8,734.9","8,102.7","739.45K","-6.92%"
"2019년 06월 02일","8,728.6","8,545.8","8,807.7","8,534.8","614.54K","2.14%"
"2019년 06월 01일","8,545.7","8,556.9","8,615.8","8,454.0","686.75K","-0.15%"
"2019년 05월 31일","8,558.3","8,271.4","8,578.8","8,135.0","858.41K","3.46%"
"2019년 05월 30일","8,271.9","8,647.8","9,045.9","8,054.7","1.04M","-4.35%"
"2019년 05월 29일","8,647.8","8,715.6","8,747.2","8,435.3","15.43M","-0.79%"
"2019년 05월 28일","8,716.3","8,759.4","8,794.1","8,568.8","763.20K","-0.50%"
"2019년 05월 27일","8,760.1","8,628.9","8,902.8","8,607.3","907.96K","1.51%"
"2019년 05월 26일","8,630.2","8,029.6","8,718.6","7,866.5","872.12K","7.51%"
"2019년 05월 25일","8,027.4","7,971.4","8,090.1","7,919.1","691.27K","0.72%"
"2019년 05월 24일","7,970.1","7,852.8","8,124.1","7,775.4","868.47K","1.50%"
"2019년 05월 23일","7,852.1","7,637.2","7,939.1","7,486.8","815.14K","2.83%"
"2019년 05월 22일","7,635.7","7,928.7","7,999.0","7,545.9","821.40K","-3.72%"
